"CodComune";"Comune";"Provincia";"TipoIstituto";"CodiceScuola";"Denominazione";"CodiceIstituto";"DenominazioneIstituto";"Alunni";"Hand";"Classi";"Ciclo";"annoScolastico";"ComuneIstituto";"CodComuneIstituto"
"089001";"AUGUSTA";"SIRACUSA";;"SREE831017";"IV I.C. D. COSTA AUGUSTA";"SRIC831005";"IV I.C. D. COSTA AUGUSTA";"303";"15";"15";"Primario";"2021-2022";"AUGUSTA";"089001"
"089001";"AUGUSTA";"SIRACUSA";;"SREE837016";"I I.C. P. DI NAPOLI AUGUSTA";"SRIC837004";"I I.C. P. DI NAPOLI AUGUSTA";"84";"5";"5";"Primario";"2021-2022";"AUGUSTA";"089001"
"089001";"AUGUSTA";"SIRACUSA";;"SREE837038";"I I.C. P. DI NAPOLI AUGUSTA";"SRIC837004";"I I.C. P. DI NAPOLI AUGUSTA";"198";"11";"11";"Primario";"2021-2022";"AUGUSTA";"089001"
"089001";"AUGUSTA";"SIRACUSA";;"SREE837049";"I I.C. P. DI NAPOLI AUGUSTA";"SRIC837004";"I I.C. P. DI NAPOLI AUGUSTA";"81";"8";"5";"Primario";"2021-2022";"AUGUSTA";"089001"
"089002";"AVOLA";"SIRACUSA";;"SREE01301P";"I C.D. E. DE AMICIS AVOLA";"SREE01300N";"I C.D. E. DE AMICIS AVOLA";"450";"10";"21";"Primario";"2021-2022";"AVOLA";"089002"
"089002";"AVOLA";"SIRACUSA";;"SREE01303R";"I C.D. E. DE AMICIS AVOLA";"SREE01300N";"I C.D. E. DE AMICIS AVOLA";"176";"6";"10";"Primario";"2021-2022";"AVOLA";"089002"
"089002";"AVOLA";"SIRACUSA";;"SREE83301V";"II I.C. G. BIANCA AVOLA";"SRIC83300R";"II I.C. G. BIANCA AVOLA";"121";"9";"7";"Primario";"2021-2022";"AVOLA";"089002"
"089002";"AVOLA";"SIRACUSA";;"SREE83302X";"II I.C. G. BIANCA AVOLA";"SRIC83300R";"II I.C. G. BIANCA AVOLA";"83";"5";"5";"Primario";"2021-2022";"AVOLA";"089002"
"089002";"AVOLA";"SIRACUSA";;"SREE833031";"II I.C. G. BIANCA AVOLA";"SRIC83300R";"II I.C. G. BIANCA AVOLA";"156";"11";"9";"Primario";"2021-2022";"AVOLA";"089002"
"089002";"AVOLA";"SIRACUSA";;"SREE83401P";"III I.C. L. CAPUANA AVOLA";"SRIC83400L";"III I.C. L. CAPUANA AVOLA";"62";"7";"4";"Primario";"2021-2022";"AVOLA";"089002"
"089002";"AVOLA";"SIRACUSA";;"SREE83402Q";"III I.C. L. CAPUANA AVOLA";"SRIC83400L";"III I.C. L. CAPUANA AVOLA";"306";"27";"16";"Primario";"2021-2022";"AVOLA";"089002"
"082006";"BAGHERIA";"PALERMO";;"PAEE054019";"D.D. BAGHERIA I- G. BAGNERA";"PAEE054008";"D.D. BAGHERIA I - G. BAGNERA";"473";"36";"25";"Primario";"2021-2022";"BAGHERIA";"082006"
"082006";"BAGHERIA";"PALERMO";;"PAEE055037";"D.D. BAGHERIA II - G.CIRINCIONE";"PAEE055004";"D.D. BAGHERIA II- G. CIRINCIONE";"579";"20";"29";"Primario";"2021-2022";"BAGHERIA";"082006"
