CodiceScuola,Alunni,Hand,Classi,annoScolastico
TPEE82103E,78,5,5,2021-2022
TPEE82104G,69,2,5,2021-2022
TPEE82105L,198,11,11,2021-2022
TPEE82106N,135,16,8,2021-2022
TPEE83901N,193,7,10,2021-2022
TPEE83902P,251,8,12,2021-2022
TPEE83903Q,82,2,4,2021-2022
TPEE845011,217,11,11,2021-2022
TPEE845022,66,1,5,2021-2022
TPEE845033,82,3,5,2021-2022
TPEE845044,99,2,5,2021-2022
CTEE8AK01N,195,8,10,2021-2022
CTEE8AK02P,54,4,3,2021-2022
CTEE8AK03Q,74,1,5,2021-2022
CTEE8AK04R,64,3,5,2021-2022
CTEE83401E,271,14,16,2021-2022
CTEE83402G,345,16,15,2021-2022
CTEE8A301D,185,6,11,2021-2022
CTEE8A302E,180,14,10,2021-2022
CTEE8BC014,379,16,19,2021-2022
CTEE8BC025,164,8,8,2021-2022
CTEE8BC036,128,8,7,2021-2022
TPEE058025,263,10,14,2021-2022
TPEE05807A,194,10,11,2021-2022
TPEE05901X,264,6,14,2021-2022
TPEE059065,241,4,13,2021-2022
TPEE822018,174,8,10,2021-2022
TPEE83801T,193,4,11,2021-2022
TPEE83802V,12,1,1,2021-2022
TPEE83803X,11,1,1,2021-2022
TPEE838041,163,8,10,2021-2022
TPEE843019,162,4,9,2021-2022
TPEE844015,303,8,15,2021-2022
TPEE844026,177,13,10,2021-2022
CLEE81601X,197,8,10,2021-2022
CLEE816032,245,8,12,2021-2022
MEEE81605X,58,1,5,2021-2022
CTEE808012,83,2,5,2021-2022
CTEE808023,75,12,5,2021-2022
CTEE808034,57,3,4,2021-2022
SREE840012,167,13,10,2021-2022
SREE840023,110,7,6,2021-2022
SREE840034,99,1,5,2021-2022
SREE840045,99,3,5,2021-2022
SREE808027,139,6,7,2021-2022
AGEE83601R,168,8,10,2021-2022
AGEE83602T,187,6,11,2021-2022
AGEE83603V,112,5,8,2021-2022
MEEE82401P,85,9,6,2021-2022
MEEE822013,216,13,12,2021-2022
MEEE822024,45,4,3,2021-2022
MEEE851013,96,9,5,2021-2022
MEEE851024,63,8,5,2021-2022
MEEE851035,156,14,8,2021-2022
MEEE851046,108,9,6,2021-2022
MEEE851057,111,10,6,2021-2022
MEEE85902P,69,7,5,2021-2022
MEEE85903Q,227,12,14,2021-2022
MEEE86101N,9,0,1,2021-2022
MEEE86102P,39,3,4,2021-2022
MEEE86103Q,68,3,5,2021-2022
MEEE86104R,140,17,10,2021-2022
MEEE86105T,126,17,10,2021-2022
MEEE86106V,13,1,1,2021-2022
MEEE86202E,243,19,14,2021-2022
MEEE864015,107,12,8,2021-2022
MEEE864026,152,16,11,2021-2022
